scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
WHOLE,0.900000,0.200000,M1(EN-C),0.030900,0.065916,0.017895,0.089750,0.000000,0.044500,0.025083,0.016000,0.000833,1.000000,6474628.189365,6.195000,100.000000
WHOLE,0.900000,0.200000,M2(EN-O),0.030900,0.065916,0.017895,0.089750,0.000000,0.044500,0.025083,0.016000,0.000833,1.000000,6474628.189365,6.195000,100.000000
WHOLE,0.900000,0.200000,M3(IE-C),0.003200,0.009498,0.007500,0.078898,0.000000,0.016000,0.007500,0.000000,0.000111,1.000000,6474628.189365,3.375000,100.000000
WHOLE,0.900000,0.200000,M4(IE-O),0.003200,0.009498,0.007500,0.078898,0.000000,0.016000,0.007500,0.000000,0.000111,1.000000,6474628.189365,3.375000,100.000000
WHOLE,0.900000,0.500000,M1(EN-C),0.230300,0.164778,0.048851,0.097134,0.000000,0.327500,0.077311,0.144500,0.005500,1.000000,2193198.709278,11.200000,100.000000
WHOLE,0.900000,0.500000,M2(EN-O),0.230300,0.164778,0.048851,0.097134,0.000000,0.327500,0.077311,0.144500,0.005500,1.000000,2193198.709278,11.200000,100.000000
WHOLE,0.900000,0.500000,M3(IE-C),0.033200,0.030238,0.016464,0.077396,0.000000,0.166000,0.016464,0.000000,0.000611,1.000000,2193198.709278,5.225000,100.000000
WHOLE,0.900000,0.500000,M4(IE-O),0.033200,0.030238,0.016464,0.077396,0.000000,0.166000,0.016464,0.000000,0.000611,1.000000,2193198.709278,5.225000,100.000000
WHOLE,0.900000,1.000000,M1(EN-C),0.578200,0.145846,0.062864,0.074177,0.000000,0.733000,0.112833,0.425500,0.012222,1.000000,209429.205930,14.345000,100.000000
WHOLE,0.900000,1.000000,M2(EN-O),0.578200,0.145846,0.062864,0.074177,0.000000,0.733000,0.112833,0.425500,0.012222,1.000000,209429.205930,14.345000,100.000000
WHOLE,0.900000,1.000000,M3(IE-C),0.088500,0.030765,0.026560,0.068964,0.000000,0.442500,0.026560,0.000000,0.001778,1.000000,209429.205930,6.970000,100.000000
WHOLE,0.900000,1.000000,M4(IE-O),0.088500,0.030765,0.026560,0.068964,0.000000,0.442500,0.026560,0.000000,0.001778,1.000000,209429.205930,6.970000,100.000000
WHOLE,0.900000,2.000000,M1(EN-C),0.781100,0.107455,0.071452,0.075061,0.010000,0.883500,0.132406,0.658000,0.017111,1.000000,93336.847834,12.390000,100.000000
WHOLE,0.900000,2.000000,M2(EN-O),0.781100,0.107455,0.071452,0.075061,0.010000,0.883500,0.132406,0.658000,0.017111,1.000000,93336.847834,12.390000,100.000000
WHOLE,0.900000,2.000000,M3(IE-C),0.125300,0.032235,0.018268,0.050400,0.000000,0.626000,0.018268,0.000000,0.001556,1.000000,93336.847834,6.655000,100.000000
WHOLE,0.900000,2.000000,M4(IE-O),0.125300,0.032235,0.018268,0.050400,0.000000,0.626000,0.018268,0.000000,0.001556,1.000000,93336.847834,6.655000,100.000000
WHOLE,0.900000,5.000000,M1(EN-C),0.897300,0.075119,0.070640,0.062914,0.005000,0.950000,0.140536,0.830000,0.019167,1.000000,67428.409258,12.885000,100.000000
WHOLE,0.900000,5.000000,M2(EN-O),0.897300,0.075119,0.070640,0.062914,0.005000,0.950000,0.140536,0.830000,0.019167,1.000000,67428.409258,12.885000,100.000000
WHOLE,0.900000,5.000000,M3(IE-C),0.149300,0.025352,0.008242,0.029186,0.000000,0.744500,0.008288,0.000000,0.000833,1.000000,67428.409258,5.895000,100.000000
WHOLE,0.900000,5.000000,M4(IE-O),0.149300,0.025352,0.008242,0.029186,0.000000,0.744500,0.008288,0.000000,0.000833,1.000000,67428.409258,5.895000,100.000000
