solver,support_type,metric,Kappa,Rho,value
TREX-DA+NN: TLARS,Random,sd_FDP,10.000000,0.500000,0.102392
TREX-DA+NN: TLARS,Random,mean_TPP,10.000000,0.700000,0.849500
TREX-DA+NN: TLARS,Random,sd_TPP,10.000000,0.700000,0.137090
TREX-DA+NN: TLARS,Random,mean_FDP,10.000000,0.700000,0.149283
TREX-DA+NN: TLARS,Random,sd_FDP,10.000000,0.700000,0.123049
TREX-DA+NN: TLARS,Random,mean_TPP,10.000000,0.800000,0.747500
TREX-DA+NN: TLARS,Random,sd_TPP,10.000000,0.800000,0.153988
TREX-DA+NN: TLARS,Random,mean_FDP,10.000000,0.800000,0.204017
TREX-DA+NN: TLARS,Random,sd_FDP,10.000000,0.800000,0.139157
TREX-DA+NN: TLARS,Random,mean_TPP,10.000000,0.900000,0.646000
TREX-DA+NN: TLARS,Random,sd_TPP,10.000000,0.900000,0.159723
TREX-DA+NN: TLARS,Random,mean_FDP,10.000000,0.900000,0.281420
TREX-DA+NN: TLARS,Random,sd_FDP,10.000000,0.900000,0.165986
TREX-DA+NN: TLARS,Random,mean_TPP,15.000000,0.100000,0.909500
TREX-DA+NN: TLARS,Random,sd_TPP,15.000000,0.100000,0.128618
TREX-DA+NN: TLARS,Random,mean_FDP,15.000000,0.100000,0.091378
TREX-DA+NN: TLARS,Random,sd_FDP,15.000000,0.100000,0.087108
TREX-DA+NN: TLARS,Random,mean_TPP,15.000000,0.300000,0.952000
TREX-DA+NN: TLARS,Random,sd_TPP,15.000000,0.300000,0.080176
TREX-DA+NN: TLARS,Random,mean_FDP,15.000000,0.300000,0.115340
TREX-DA+NN: TLARS,Random,sd_FDP,15.000000,0.300000,0.089913
TREX-DA+NN: TLARS,Random,mean_TPP,15.000000,0.500000,0.904500
TREX-DA+NN: TLARS,Random,sd_TPP,15.000000,0.500000,0.112664
TREX-DA+NN: TLARS,Random,mean_FDP,15.000000,0.500000,0.129100
TREX-DA+NN: TLARS,Random,sd_FDP,15.000000,0.500000,0.099750
TREX-DA+NN: TLARS,Random,mean_TPP,15.000000,0.700000,0.836000
TREX-DA+NN: TLARS,Random,sd_TPP,15.000000,0.700000,0.153040
TREX-DA+NN: TLARS,Random,mean_FDP,15.000000,0.700000,0.151768
TREX-DA+NN: TLARS,Random,sd_FDP,15.000000,0.700000,0.112070
TREX-DA+NN: TLARS,Random,mean_TPP,15.000000,0.800000,0.744500
TREX-DA+NN: TLARS,Random,sd_TPP,15.000000,0.800000,0.166458
