"rho_level","rho","cut_height","var","group_size","group_members"
14,0.72320772800517,0.27679227199483,1,1,"1"
14,0.72320772800517,0.27679227199483,2,1,"2"
14,0.72320772800517,0.27679227199483,3,1,"3"
14,0.72320772800517,0.27679227199483,4,1,"4"
14,0.72320772800517,0.27679227199483,5,3,"5|6|7"
14,0.72320772800517,0.27679227199483,6,3,"5|6|7"
14,0.72320772800517,0.27679227199483,7,3,"5|6|7"
14,0.72320772800517,0.27679227199483,8,2,"8|9"
14,0.72320772800517,0.27679227199483,9,2,"8|9"
14,0.72320772800517,0.27679227199483,10,1,"10"
14,0.72320772800517,0.27679227199483,11,1,"11"
14,0.72320772800517,0.27679227199483,12,2,"12|13"
14,0.72320772800517,0.27679227199483,13,2,"12|13"
14,0.72320772800517,0.27679227199483,14,1,"14"
14,0.72320772800517,0.27679227199483,15,1,"15"
14,0.72320772800517,0.27679227199483,16,1,"16"
14,0.72320772800517,0.27679227199483,17,1,"17"
14,0.72320772800517,0.27679227199483,18,1,"18"
14,0.72320772800517,0.27679227199483,19,1,"19"
14,0.72320772800517,0.27679227199483,20,3,"20|21|22"
14,0.72320772800517,0.27679227199483,21,3,"20|21|22"
14,0.72320772800517,0.27679227199483,22,3,"20|21|22"
14,0.72320772800517,0.27679227199483,23,1,"23"
14,0.72320772800517,0.27679227199483,24,1,"24"
15,0.732961610960249,0.267038389039751,0,1,"0"
15,0.732961610960249,0.267038389039751,1,1,"1"
15,0.732961610960249,0.267038389039751,2,1,"2"
15,0.732961610960249,0.267038389039751,3,1,"3"
15,0.732961610960249,0.267038389039751,4,1,"4"
15,0.732961610960249,0.267038389039751,5,3,"5|6|7"
15,0.732961610960249,0.267038389039751,6,3,"5|6|7"
15,0.732961610960249,0.267038389039751,7,3,"5|6|7"
15,0.732961610960249,0.267038389039751,8,2,"8|9"
15,0.732961610960249,0.267038389039751,9,2,"8|9"
15,0.732961610960249,0.267038389039751,10,1,"10"
15,0.732961610960249,0.267038389039751,11,1,"11"
15,0.732961610960249,0.267038389039751,12,1,"12"
15,0.732961610960249,0.267038389039751,13,1,"13"
15,0.732961610960249,0.267038389039751,14,1,"14"
15,0.732961610960249,0.267038389039751,15,1,"15"
15,0.732961610960249,0.267038389039751,16,1,"16"
15,0.732961610960249,0.267038389039751,17,1,"17"
15,0.732961610960249,0.267038389039751,18,1,"18"
15,0.732961610960249,0.267038389039751,19,1,"19"
15,0.732961610960249,0.267038389039751,20,3,"20|21|22"
15,0.732961610960249,0.267038389039751,21,3,"20|21|22"
15,0.732961610960249,0.267038389039751,22,3,"20|21|22"
15,0.732961610960249,0.267038389039751,23,1,"23"
15,0.732961610960249,0.267038389039751,24,1,"24"
16,0.752770266967885,0.247229733032115,0,1,"0"
16,0.752770266967885,0.247229733032115,1,1,"1"
16,0.752770266967885,0.247229733032115,2,1,"2"
16,0.752770266967885,0.247229733032115,3,1,"3"
